type,neighborhood,address,price,geo,beds,baths,sqft,url,work_time,work_directions,work_lines,friend_time,friend_directions,friend_lines
Rental Unit,Kips Bay,226 East 26th Street #BSMNT,"$1,950","40.73998308,-73.98056399",Studio,1 Bath,,https://streeteasy.com/building/226-east-26-street-new_york/bsmnt,24.0,1: Walk northwest on East 26th Street. 2: Turn right onto 3rd Avenue. 3: Turn left onto East 27th Street. 4: Enter the 28 St Station. 5: Take the 6X toward Brooklyn Bridge - City Hall. (7 stops) 6: Exit the Brooklyn Bridge - City Hall Station. 7: Walk northwest on Chambers Street. 8: Turn left onto Centre Street. 9: Continue on Steve Flanders Square. 10: Your destination is on the right. ,1,48.0,1: Walk northwest on East 26th Street. 2: Continue on West 26th Street. 3: Turn right onto Broadway. 4: Enter the 28 St Station. 5: Take the W toward Astoria - Ditmars Blvd. (13 stops) 6: Exit the Astoria - Ditmars Blvd Station. 7: Walk southeast on Ditmars Boulevard. 8: Turn left onto 35th Street. 9: Your destination is on the right. ,1
Rental Unit,Forest Hills,70-01 113rd Street #3D,"$1,750","40.72349946,-73.83883207",Studio,1 Bath,650.0,https://streeteasy.com/building/70_01-113-street-forest_hills/3d,64.0,1: Walk south on 113th Street. 2: Turn right onto 71st Avenue. 3: Turn right onto Queens Boulevard/NY 25. 4: Enter the Forest Hills - 71 Av Station. 5: Take the R toward Bay Ridge - 95 St. (25 stops) 6: Exit the City Hall Station. 7: Walk southeast on Steve Flanders Square. 8: Your destination is on the left. ,1,47.0,1: Walk south on 113th Street. 2: Turn right onto 71st Avenue. 3: Turn right onto Queens Boulevard/NY 25. 4: Enter the Forest Hills - 71 Av Station. 5: Take the R toward Bay Ridge - 95 St. (10 stops) 6: Exit the Steinway St Station. 7: Take the Q101 toward STEINWAY 19 AV via STEINWAY ST. (8 stops) 8: Walk northwest on Ditmars Boulevard. 9: Turn right onto 35th Street. 10: Your destination is on the right. ,2
Rental Unit,Forest Hills,108-22 72nd Avenue #3F,"$1,750","40.71982579,-73.84194704",Studio,1 Bath,,https://streeteasy.com/building/108_22-72-avenue-forest_hills/3f,64.0,1: Walk northeast on 72nd Avenue. 2: Turn left onto Queens Boulevard. 3: Turn right onto the walkway. 4: Turn left onto Queens Boulevard/NY 25. 5: Enter the Forest Hills - 71 Av Station. 6: Take the R toward Bay Ridge - 95 St. (25 stops) 7: Exit the City Hall Station. 8: Walk southeast on Steve Flanders Square. 9: Your destination is on the left. ,1,48.0,1: Walk northeast on 72nd Avenue. 2: Turn left onto Queens Boulevard. 3: Turn right onto the walkway. 4: Turn left onto Queens Boulevard/NY 25. 5: Enter the Forest Hills - 71 Av Station. 6: Take the E toward World Trade Center. (2 stops) 7: Exit the Queens Plaza Station. 8: Walk west on Queens Plaza South. 9: Continue on Queens Plaza South. 10: Turn left onto the walkway. 11: Continue. 12: Turn right onto the walkway. 13: Enter the Queensboro Plaza Station. 14: Take the W toward Astoria - Ditmars Blvd. (6 stops) 15: Exit the Astoria - Ditmars Blvd Station. 16: Walk southeast on Ditmars Boulevard. 17: Turn left onto 35th Street. 18: Your destination is on the right. ,2
Co-op,Hudson Heights,340 Haven Avenue #2D,"$2,200","40.85110092,-73.94159698",1 Bed,1 Bath,,https://streeteasy.com/building/lafayette-gardens-340-haven-avenue-new_york/2d?featured=1,47.0,1: Walk northeast on Haven Avenue. 2: Turn right onto West 181st Street. 3: Enter the 181 St Station. 4: Take the A toward Far Rockaway - Mott Av. (11 stops) 5: Exit the Chambers St Station. 6: Walk southeast on Murray Street. 7: Bear right onto Steve Flanders Square. 8: Your destination is on the left. ,1,71.0,1: Walk northeast on Haven Avenue. 2: Turn right onto West 181st Street. 3: Enter the 181 St Station. 4: Take the 1 toward South Ferry. (15 stops) 5: Exit the 50 St Station. 6: Walk southwest on Broadway. 7: Turn left onto West 49th Street. 8: Enter the 49 St Station. 9: Take the W toward Astoria - Ditmars Blvd. (10 stops) 10: Exit the Astoria - Ditmars Blvd Station. 11: Walk southeast on Ditmars Boulevard. 12: Turn left onto 35th Street. 13: Your destination is on the right. ,2
Rental Unit,Rego Park,97-45 63 Drive #6J,"$2,395","40.73106879,-73.85921779",1 Bed,1 Bath,,https://streeteasy.com/building/97_45-63-drive-rego_park/6j?featured=1,57.0,1: Walk west on 63rd Drive. 2: Turn right onto Queens Boulevard. 3: Turn left onto 63rd Road. 4: Continue. 5: Enter the 63 Dr - Rego Park Station. 6: Take the R toward Bay Ridge - 95 St. (23 stops) 7: Exit the City Hall Station. 8: Walk southeast on Steve Flanders Square. 9: Your destination is on the left. ,1,44.0,1: Walk west on 63rd Drive. 2: Turn right onto Queens Boulevard. 3: Turn left onto 63rd Road. 4: Continue. 5: Enter the 63 Dr - Rego Park Station. 6: Take the R toward Bay Ridge - 95 St. (9 stops) 7: Exit the 36 St Station. 8: Walk west on Northern Boulevard/NY 25A. 9: Turn right onto 39th Avenue. 10: Enter the 39 Av Station. 11: Take the N toward Astoria - Ditmars Blvd. (5 stops) 12: Exit the Astoria - Ditmars Blvd Station. 13: Walk southeast on Ditmars Boulevard. 14: Turn left onto 35th Street. 15: Your destination is on the right. ,2
Rental Unit,Forest Hills,108-22 72nd Avenue #6H,"$2,100","40.71982579,-73.84194704",1 Bed,1 Bath,,https://streeteasy.com/building/108_22-72-avenue-forest_hills/6h,64.0,1: Walk northeast on 72nd Avenue. 2: Turn left onto Queens Boulevard. 3: Turn right onto the walkway. 4: Turn left onto Queens Boulevard/NY 25. 5: Enter the Forest Hills - 71 Av Station. 6: Take the R toward Bay Ridge - 95 St. (25 stops) 7: Exit the City Hall Station. 8: Walk southeast on Steve Flanders Square. 9: Your destination is on the left. ,1,48.0,1: Walk northeast on 72nd Avenue. 2: Turn left onto Queens Boulevard. 3: Turn right onto the walkway. 4: Turn left onto Queens Boulevard/NY 25. 5: Enter the Forest Hills - 71 Av Station. 6: Take the E toward World Trade Center. (2 stops) 7: Exit the Queens Plaza Station. 8: Walk west on Queens Plaza South. 9: Continue on Queens Plaza South. 10: Turn left onto the walkway. 11: Continue. 12: Turn right onto the walkway. 13: Enter the Queensboro Plaza Station. 14: Take the W toward Astoria - Ditmars Blvd. (6 stops) 15: Exit the Astoria - Ditmars Blvd Station. 16: Walk southeast on Ditmars Boulevard. 17: Turn left onto 35th Street. 18: Your destination is on the right. ,2
Rental Unit,Lenox Hill,332 East 66th Street #4D,"$2,200","40.76425231,-73.95998391",Studio,1 Bath,,https://streeteasy.com/building/332-east-66-street-new_york/4d,39.0,1: Walk northwest on East 66th Street. 2: Turn right onto the walkway. 3: Turn right onto 3rd Avenue. 4: Turn left onto East 68th Street. 5: Enter the 68 St - Hunter College Station. 6: Take the 6X toward Brooklyn Bridge - City Hall. (12 stops) 7: Exit the Brooklyn Bridge - City Hall Station. 8: Walk northwest on Chambers Street. 9: Turn left onto Centre Street. 10: Continue on Steve Flanders Square. 11: Your destination is on the right. ,1,38.0,1: Walk northwest on East 66th Street. 2: Turn left onto the walkway. 3: Turn left onto the walkway. 4: Turn right onto the walkway. 5: Turn left onto 3rd Avenue. 6: Enter the Lexington Av/59 St Station. 7: Take the N toward Astoria - Ditmars Blvd. (7 stops) 8: Exit the Astoria - Ditmars Blvd Station. 9: Walk southeast on Ditmars Boulevard. 10: Turn left onto 35th Street. 11: Your destination is on the right. ,1
Rental Unit,Weeksville,1393 Lincoln Place #1A,"$2,000","40.66991454,-73.93040163",Studio,1 Bath,,https://streeteasy.com/building/1393-lincoln-place-brooklyn/1a,37.0,1: Walk west on Lincoln Place. 2: Turn left onto Utica Avenue. 3: Take the B46-SBS toward SELECT BUS De KALB AV via UTICA. (1 stop) 4: Enter the Utica Av Station. 5: Take the A toward Inwood - 207 St. (6 stops) 6: Exit the Chambers St Station. 7: Walk southeast on Murray Street. 8: Bear right onto Steve Flanders Square. 9: Your destination is on the left. ,1,81.0,1: Walk west on Lincoln Place. 2: Turn left onto Utica Avenue. 3: Take the B46-SBS toward SELECT BUS De KALB AV via UTICA. (1 stop) 4: Enter the Utica Av Station. 5: Take the A toward Inwood - 207 St. (6 stops) 6: Exit the Chambers St Station. 7: Walk southeast on Murray Street. 8: Enter the City Hall Station. 9: Take the W toward Astoria - Ditmars Blvd. (19 stops) 10: Exit the Astoria - Ditmars Blvd Station. 11: Walk southeast on Ditmars Boulevard. 12: Turn left onto 35th Street. 13: Your destination is on the right. ,2
Rental Unit,Stuyvesant Heights,814 Macon Street #1C,"$2,385","40.68445661,-73.9182716",Studio,1 Bath,660.0,https://streeteasy.com/building/814-macon-street-brooklyn/1c,38.0,1: Walk east on Macon Street. 2: Turn left onto Saratoga Avenue. 3: Turn right onto Hancock Street. 4: Enter the Halsey St Station. 5: Take the J toward Broad St. (7 stops) 6: Exit the Chambers St Station. 7: Walk northwest on Chambers Street. 8: Turn left onto Centre Street. 9: Continue on Steve Flanders Square. 10: Your destination is on the right. ,1,76.0,1: Walk east on Macon Street. 2: Turn left onto Saratoga Avenue. 3: Turn right onto Hancock Street. 4: Enter the Halsey St Station. 5: Take the J toward Broad St. (6 stops) 6: Exit the Canal St Station. 7: Walk northwest on Canal Street. 8: Enter the Canal St Station. 9: Take the N toward Astoria - Ditmars Blvd. (14 stops) 10: Exit the Astoria - Ditmars Blvd Station. 11: Walk southeast on Ditmars Boulevard. 12: Turn left onto 35th Street. 13: Your destination is on the right. ,2
Rental Unit,Hell's Kitchen,306 West 51st Street #4E,"$2,400","40.76299862,-73.98641608",Studio,1 Bath,,https://streeteasy.com/building/306-west-51-street-new_york/4e,24.0,1: Walk southeast on West 51st Street. 2: Enter the 50 St Station. 3: Take the C toward Euclid Av. (8 stops) 4: Exit the Chambers St Station. 5: Walk southeast on Murray Street. 6: Bear right onto Steve Flanders Square. 7: Your destination is on the left. ,1,38.0,1: Walk southeast on West 51st Street. 2: Turn right onto Broadway. 3: Turn left onto West 49th Street. 4: Enter the 49 St Station. 5: Take the N toward Astoria - Ditmars Blvd. (10 stops) 6: Exit the Astoria - Ditmars Blvd Station. 7: Walk southeast on Ditmars Boulevard. 8: Turn left onto 35th Street. 9: Your destination is on the right. ,1
Rental Unit,Astoria,34-50 28th Street #1,"$1,700","40.75960159,-73.93099976",Studio,1 Bath,,https://streeteasy.com/building/34_50-28-street-astoria/1,43.0,1: Walk southwest on 28th Street. 2: Turn left onto 35th Avenue. 3: Turn right onto 31st Street. 4: Enter the 36 Av Station. 5: Take the W toward Whitehall St. (15 stops) 6: Exit the City Hall Station. 7: Walk southeast on Steve Flanders Square. 8: Your destination is on the left. ,1,21.0,1: Walk southwest on 28th Street. 2: Turn left onto 35th Avenue. 3: Turn right onto 31st Street. 4: Enter the 36 Av Station. 5: Take the W toward Astoria - Ditmars Blvd. (4 stops) 6: Exit the Astoria - Ditmars Blvd Station. 7: Walk southeast on Ditmars Boulevard. 8: Turn left onto 35th Street. 9: Your destination is on the right. ,1
Rental Unit,Lenox Hill,1475 Second Avenue #4H,"$2,488","40.77199936,-73.95649719",Studio,1 Bath,,https://streeteasy.com/building/1475-2-avenue-manhattan/4h,35.0,1: Walk northwest on East 77th Street. 2: Enter the 77 St Station. 3: Take the 6 toward Brooklyn Bridge - City Hall. (13 stops) 4: Exit the Brooklyn Bridge - City Hall Station. 5: Walk northwest on Chambers Street. 6: Turn left onto Centre Street. 7: Continue on Steve Flanders Square. 8: Your destination is on the right. ,1,38.0,1: Walk northwest on East 77th Street. 2: Enter the 77 St Station. 3: Take the 6 toward Brooklyn Bridge - City Hall. (2 stops) 4: Exit the 59 St Station. 5: Walk northeast on Lexington Avenue. 6: Enter the Lexington Av/59 St Station. 7: Take the N toward Astoria - Ditmars Blvd. (7 stops) 8: Exit the Astoria - Ditmars Blvd Station. 9: Walk southeast on Ditmars Boulevard. 10: Turn left onto 35th Street. 11: Your destination is on the right. ,2
Rental Unit,Forest Hills,66-10 108th Street #4G,"$1,975","40.72985011,-73.84840336",1 Bed,1 Bath,775.0,https://streeteasy.com/building/66_20-108-street-forest_hills/rental/3902579,64.0,1: Walk south. 2: Turn right onto 66th Road. 3: Turn left onto 102nd Street. 4: Turn right onto 67th Road. 5: Enter the 67 Av Station. 6: Take the R toward Bay Ridge - 95 St. (24 stops) 7: Exit the City Hall Station. 8: Walk southeast on Steve Flanders Square. 9: Your destination is on the left. ,1,47.0,1: Walk south. 2: Turn right onto 66th Road. 3: Turn left onto 102nd Street. 4: Turn right onto 67th Road. 5: Enter the 67 Av Station. 6: Take the M toward Middle Village - Metropolitan Av. (9 stops) 7: Exit the Steinway St Station. 8: Take the Q101 toward STEINWAY 19 AV via STEINWAY ST. (8 stops) 9: Walk northwest on Ditmars Boulevard. 10: Turn right onto 35th Street. 11: Your destination is on the right. ,2
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #APT4,"$1,875","40.76645219,-73.82209298",1 Bed,1 Bath,750.0,https://streeteasy.com/building/144_45-35-avenue-flushing/apt4,67.0,1: Walk west on 35th Avenue. 2: Turn left onto Parsons Boulevard. 3: Take the QM3 toward MIDTOWN 57 ST via 6 AV. (4 stops) 4: Walk southwest on 6th Avenue/Avenue of the Americas. 5: Enter the 34 St - Herald Sq Station. 6: Take the W toward Whitehall St. (7 stops) 7: Exit the City Hall Station. 8: Walk southeast on Steve Flanders Square. 9: Your destination is on the left. ,2,65.0,1: Walk west on 35th Avenue. 2: Turn left onto Union Street. 3: Turn right onto Northern Boulevard/NY 25A. 4: Take the Q19 toward ASTORIA 2 ST via ASTORIA BL. (12 stops) 5: Transfer to take the Q69 toward LI CITY QUEENS PLZ via DITMARS BL via 21 ST. (12 stops) 6: Walk northeast on 35th Street. 7: Your destination is on the right. ,2
Rental Unit,Fort George,42 Thayer Street #6B,"$1,900","40.86261509,-73.92684499",1 Bed,1 Bath,750.0,https://streeteasy.com/building/42-thayer-street-new_york/6b,47.0,1: Walk northwest on Thayer Street. 2: Turn right onto Broadway/US 9. 3: Enter the Dyckman St Station. 4: Take the A toward Far Rockaway - Mott Av. (13 stops) 5: Exit the Chambers St Station. 6: Walk southeast on Murray Street. 7: Bear right onto Steve Flanders Square. 8: Your destination is on the left. ,1,71.0,1: Walk southeast on Thayer Street. 2: Turn left onto Nagle Avenue. 3: Bear right to stay on Nagle Avenue. 4: Enter the Dyckman St Station. 5: Take the 1 toward South Ferry. (17 stops) 6: Exit the 50 St Station. 7: Walk southwest on Broadway. 8: Turn left onto West 49th Street. 9: Enter the 49 St Station. 10: Take the W toward Astoria - Ditmars Blvd. (10 stops) 11: Exit the Astoria - Ditmars Blvd Station. 12: Walk southeast on Ditmars Boulevard. 13: Turn left onto 35th Street. 14: Your destination is on the right. ,2
Rental Unit,Murray Hill (Queens),41-11 Parsons Boulevard #211,"$1,625","40.76040621,-73.82077353",Studio,1 Bath,,https://streeteasy.com/building/144_20-41-avenue-flushing/211,67.0,1: Walk west on 41st Avenue. 2: Turn right onto Parsons Boulevard. 3: Turn left onto Roosevelt Avenue. 4: Enter the Flushing - Main St Station. 5: Take the 7X toward 34 St - 11 Av. (4 stops) 6: Transfer at the Queensboro Plaza Station. 7: Take the W toward Whitehall St. (13 stops) 8: Exit the City Hall Station. 9: Walk southeast on Steve Flanders Square. 10: Your destination is on the left. ,2,52.0,1: Walk west on 41st Avenue. 2: Turn right onto Parsons Boulevard. 3: Turn left onto Roosevelt Avenue. 4: Enter the Flushing - Main St Station. 5: Take the 7X toward 34 St - 11 Av. (4 stops) 6: Transfer at the Queensboro Plaza Station. 7: Take the N toward Astoria - Ditmars Blvd. (6 stops) 8: Exit the Astoria - Ditmars Blvd Station. 9: Walk southeast on Ditmars Boulevard. 10: Turn left onto 35th Street. 11: Your destination is on the right. ,2
Co-op,Hudson Heights,340 Haven Avenue #2D,"$2,200","40.85110092,-73.94159698",1 Bed,1 Bath,,https://streeteasy.com/building/lafayette-gardens-340-haven-avenue-new_york/2d?featured=1,47.0,1: Walk northeast on Haven Avenue. 2: Turn right onto West 181st Street. 3: Enter the 181 St Station. 4: Take the A toward Far Rockaway - Mott Av. (11 stops) 5: Exit the Chambers St Station. 6: Walk southeast on Murray Street. 7: Bear right onto Steve Flanders Square. 8: Your destination is on the left. ,1,71.0,1: Walk northeast on Haven Avenue. 2: Turn right onto West 181st Street. 3: Enter the 181 St Station. 4: Take the 1 toward South Ferry. (15 stops) 5: Exit the 50 St Station. 6: Walk southwest on Broadway. 7: Turn left onto West 49th Street. 8: Enter the 49 St Station. 9: Take the W toward Astoria - Ditmars Blvd. (10 stops) 10: Exit the Astoria - Ditmars Blvd Station. 11: Walk southeast on Ditmars Boulevard. 12: Turn left onto 35th Street. 13: Your destination is on the right. ,2
Rental Unit,Rego Park,97-45 63 Drive #6J,"$2,395","40.73106879,-73.85921779",1 Bed,1 Bath,,https://streeteasy.com/building/97_45-63-drive-rego_park/6j?featured=1,57.0,1: Walk west on 63rd Drive. 2: Turn right onto Queens Boulevard. 3: Turn left onto 63rd Road. 4: Continue. 5: Enter the 63 Dr - Rego Park Station. 6: Take the R toward Bay Ridge - 95 St. (23 stops) 7: Exit the City Hall Station. 8: Walk southeast on Steve Flanders Square. 9: Your destination is on the left. ,1,44.0,1: Walk west on 63rd Drive. 2: Turn right onto Queens Boulevard. 3: Turn left onto 63rd Road. 4: Continue. 5: Enter the 63 Dr - Rego Park Station. 6: Take the R toward Bay Ridge - 95 St. (9 stops) 7: Exit the 36 St Station. 8: Walk west on Northern Boulevard/NY 25A. 9: Turn right onto 39th Avenue. 10: Enter the 39 Av Station. 11: Take the N toward Astoria - Ditmars Blvd. (5 stops) 12: Exit the Astoria - Ditmars Blvd Station. 13: Walk southeast on Ditmars Boulevard. 14: Turn left onto 35th Street. 15: Your destination is on the right. ,2
